,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
407,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt Ninja Call,1399,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",Upto 5 Days,Yes,v5.0,240 x 286 Pixel,1.83 inch,40 g,Lithium Ion,np.nan,np.nan,No,215815,33790
408,"Fire-Boltt Combat 1.95"" Large Display, Rugged Outdoor Design, Voice Assistant BT Calling Smartwatch",Fire-Boltt Combat 1.9,1399,4.2,Square,Green,"Combat 1.95"" Large Display, Rugged Outdoor Design, Voice Assistant BT Calling",Upto 7 Days,Yes,v5.0,240 x 282 Pixels,1.95 inch,56.1 g,Lithium Ion,np.nan,np.nan,No,15010,2987
409,"beatXP Unbound Neo 1.8"" Super AMOLED Display, Bluetooth Calling Smartwatch",beatXP Unbound Ne,1199,3.9,Rectangle,Silver,"Unbound Neo 1.8"" Super AMOLED Display, Bluetooth Calling",Upto 5 Days,np.nan,np.nan,368 x 448 pixel,45.72 mm,np.nan,Yes,np.nan,np.nan,np.nan,2549,206
410,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch",Noise Icon Buzz ,1099,4.1,Rectangle,Black,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",7 Days,Yes,v5.1,240 x 280 pixel,1.69 inch,50 g,np.nan,np.nan,np.nan,np.nan,443075,31516
411,"Boult Cosmic R 1.3""HD, BT Calling, 500 Nits, 250+ Watch Faces,Complete Health Track Smartwatch",Boult Cosmic R 1,1399,3.9,Round,Black,"Cosmic R 1.3""HD, BT Calling, 500 Nits, 250+ Watch Faces,Complete Health Track",Upto 10 Days,No,v5.0,240 x 240 Pixel,33.02 mm,60 g,Lithium Polymer,np.nan,np.nan,No,16679,1135
412,"boAt Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio Smartwatch",boAt Ultima Pri,2299,4.1,Rectangle,Black,"Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio",Upto 7 days,Yes,np.nan,410 x 502 Pixel,1.96 inch,np.nan,np.nan,np.nan,np.nan,np.nan,2555,298
413,"Boult Striker Pro 1.43"" AMOLED, BT Calling, Working Crown, 750 Nits, Metallic Frame Smartwatch",Boult Striker Pr,2099,4.0,Rectangle,Blue,"Striker Pro 1.43"" AMOLED, BT Calling, Working Crown, 750 Nits, Metallic Frame",Upto 7 Days,Yes,v5.2,466 x 466 Pixel,1.43 inch,60 g,Lithium Polymer,np.nan,np.nan,No,31436,2847
414,"Noise Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2 Smartwatch",Noise Fit Buzz w,1499,4.0,Round,Blue,"Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",7 Days,Yes,np.nan,360 x 360 pixel,33.52 mm,np.nan,np.nan,np.nan,np.nan,np.nan,4856,321
415,"Boult Cosmic R 1.3"" HD, Complete Health Tracking, 150+ Watch faces, 100+ Sports Modes Smartwatch",Boult Cosmic R 1,1399,3.9,Round,White,"Cosmic R 1.3"" HD, Complete Health Tracking, 150+ Watch faces, 100+ Sports Modes",Upto 10 Days,No,v5.0,240 x 240 Pixel,33.02 mm,60 g,Lithium Polymer,np.nan,np.nan,No,16679,1135
416,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult Crown 1.95,1399,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Upto 5 Days,Yes,v5.2,240 x 283 Pixel,49.53 mm,np.nan,Lithium Polymer,np.nan,np.nan,np.nan,40605,4142
